usage_rgn_cd,region_sido,region_sigungu,drop_reason,mapping_note
11110,서울,종로구,,사용처지역코드 파일 기준
11140,서울,중구,,사용처지역코드 파일 기준
11170,서울,용산구,,사용처지역코드 파일 기준
11200,서울,성동구,,사용처지역코드 파일 기준
11215,서울,광진구,,사용처지역코드 파일 기준
11230,서울,동대문구,,사용처지역코드 파일 기준
11260,서울,중랑구,,사용처지역코드 파일 기준
11290,서울,성북구,,사용처지역코드 파일 기준
11305,서울,강북구,,사용처지역코드 파일 기준
11320,서울,도봉구,,사용처지역코드 파일 기준
11350,서울,노원구,,사용처지역코드 파일 기준
11380,서울,은평구,,사용처지역코드 파일 기준
11410,서울,서대문구,,사용처지역코드 파일 기준
11440,서울,마포구,,사용처지역코드 파일 기준
11470,서울,양천구,,사용처지역코드 파일 기준
11500,서울,강서구,,사용처지역코드 파일 기준
11530,서울,구로구,,사용처지역코드 파일 기준
11545,서울,금천구,,사용처지역코드 파일 기준
11560,서울,영등포구,,사용처지역코드 파일 기준
11590,서울,동작구,,사용처지역코드 파일 기준
11620,서울,관악구,,사용처지역코드 파일 기준
11650,서울,서초구,,사용처지역코드 파일 기준
11680,서울,강남구,,사용처지역코드 파일 기준
11710,서울,송파구,,사용처지역코드 파일 기준
11740,서울,강동구,,사용처지역코드 파일 기준
26110,부산,중구,,사용처지역코드 파일 기준
26140,부산,서구,,사용처지역코드 파일 기준
26170,부산,동구,,사용처지역코드 파일 기준
26200,부산,영도구,,사용처지역코드 파일 기준
26230,부산,부산진구,,사용처지역코드 파일 기준
26260,부산,동래구,,사용처지역코드 파일 기준
26290,부산,남구,,사용처지역코드 파일 기준
26320,부산,북구,,사용처지역코드 파일 기준
26350,부산,해운대구,,사용처지역코드 파일 기준
26380,부산,사하구,,사용처지역코드 파일 기준
26410,부산,금정구,,사용처지역코드 파일 기준
26440,부산,강서구,,사용처지역코드 파일 기준
26470,부산,연제구,,사용처지역코드 파일 기준
26500,부산,수영구,,사용처지역코드 파일 기준
26530,부산,사상구,,사용처지역코드 파일 기준
26710,부산,기장군,,사용처지역코드 파일 기준
27110,대구,중구,,사용처지역코드 파일 기준
27140,대구,동구,,사용처지역코드 파일 기준
27170,대구,서구,,사용처지역코드 파일 기준
27200,대구,남구,,사용처지역코드 파일 기준
27230,대구,북구,,사용처지역코드 파일 기준
27260,대구,수성구,,사용처지역코드 파일 기준
27290,대구,달서구,,사용처지역코드 파일 기준
27710,대구,달성군,,사용처지역코드 파일 기준
27720,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
28110,인천,중구,,사용처지역코드 파일 기준
28140,인천,동구,,사용처지역코드 파일 기준
28170,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
28177,인천,미추홀구,,사용처지역코드 파일 기준
28185,인천,연수구,,사용처지역코드 파일 기준
28200,인천,남동구,,사용처지역코드 파일 기준
28237,인천,부평구,,사용처지역코드 파일 기준
28245,인천,계양구,,사용처지역코드 파일 기준
28260,인천,서구,,사용처지역코드 파일 기준
28710,인천,강화군,,사용처지역코드 파일 기준
28720,인천,옹진군,,사용처지역코드 파일 기준
29000,,,광주광역시 광역 합계,시군구 배분 불가 광역 집계라 clean에서 제외
29110,광주,동구,,사용처지역코드 파일 기준
29140,광주,서구,,사용처지역코드 파일 기준
29155,광주,남구,,사용처지역코드 파일 기준
29170,광주,북구,,사용처지역코드 파일 기준
29200,광주,광산구,,사용처지역코드 파일 기준
30110,대전,동구,,사용처지역코드 파일 기준
30140,대전,중구,,사용처지역코드 파일 기준
30170,대전,서구,,사용처지역코드 파일 기준
30200,대전,유성구,,사용처지역코드 파일 기준
30230,대전,대덕구,,사용처지역코드 파일 기준
31110,울산,중구,,사용처지역코드 파일 기준
31140,울산,남구,,사용처지역코드 파일 기준
31170,울산,동구,,사용처지역코드 파일 기준
31200,울산,북구,,사용처지역코드 파일 기준
31710,울산,울주군,,사용처지역코드 파일 기준
36000,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
36110,,,사용처지역코드 참고파일 시군구명 없음,old clean 기준에 맞춰 제외
41110,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
41111,경기,수원시,,사용처지역코드 파일 기준
41113,경기,수원시,,사용처지역코드 파일 기준
41115,경기,수원시,,사용처지역코드 파일 기준
41117,경기,수원시,,사용처지역코드 파일 기준
41130,,,사용처지역코드 참고파일 미매칭,old clean 기준에 맞춰 제외
