region_sido,region_sigungu,population
강원,강릉시,206942
강원,고성군,26776
강원,동해시,86602
강원,삼척시,60932
강원,속초시,79960
강원,양구군,20466
강원,양양군,27346
강원,영월군,36296
강원,원주시,362881
강원,인제군,30894
강원,정선군,33266
강원,철원군,39994
강원,춘천시,285162
강원,태백시,37376
강원,평창군,39893
강원,홍천군,66341
강원,화천군,22504
강원,횡성군,45765
경기,가평군,62229
경기,고양시,1061192
경기,과천시,80021
경기,광명시,289891
경기,광주시,397494
경기,구리시,186070
경기,군포시,252284
경기,김포시,484512
경기,남양주시,730401
경기,동두천시,86830
경기,부천시,761265
경기,성남시,907068
경기,수원시,1188644
경기,시흥시,514331
경기,안산시,613914
경기,안성시,196691
경기,안양시,563789
경기,양주시,294789
경기,양평군,127163
경기,여주시,114134
경기,연천군,41027
경기,오산시,247325
경기,용인시,1092574
경기,의왕시,158229
경기,의정부시,461568
경기,이천시,224219
경기,파주시,522654
경기,평택시,605625
경기,포천시,140741
경기,하남시,327792
경기,화성시,986712
경남,거제시,231319
경남,거창군,59160
경남,고성군,47241
경남,김해시,532894
경남,남해군,39296
경남,밀양시,99477
경남,사천시,108166
경남,산청군,32918
경남,양산시,360574
경남,의령군,24671
경남,진주시,336964
경남,창녕군,55010
경남,창원시,992802
경남,통영시,117099
경남,하동군,40170
경남,함안군,57725
경남,함양군,35553
경남,합천군,39386
경북,경산시,265042
경북,경주시,244215
경북,고령군,29662
경북,구미시,404157
경북,김천시,134427
경북,문경시,65755
경북,봉화군,28322
경북,상주시,90400
경북,성주군,40872
경북,안동시,153399
경북,영덕군,32840
경북,영양군,15185
경북,영주시,97548
경북,영천시,95914
경북,예천군,54013
경북,울릉군,8821
경북,울진군,45925
경북,의성군,48001
경북,청도군,40198
경북,청송군,23491
경북,칠곡군,105190
경북,포항시,489064
광주,광산구,389089
광주,남구,207944
광주,동구,105032
광주,북구,418974
광주,서구,276083
대구,군위군,22350
대구,남구,135984
대구,달서구,519009
대구,달성군,255197
대구,동구,339912
대구,북구,411210
대구,서구,162529
대구,수성구,409457
대구,중구,100724
대전,대덕구,166344
대전,동구,219546
대전,서구,463776
대전,유성구,366516
대전,중구,226046
부산,강서구,148362
부산,금정구,207438
부산,기장군,174882
부산,남구,251504
부산,동구,84160
부산,동래구,274078
부산,부산진구,365433
부산,북구,263825
부산,사상구,195173
부산,사하구,287772
부산,서구,102322
부산,수영구,169749
부산,연제구,211599
부산,영도구,102070
부산,중구,36729
부산,해운대구,373263
서울,강남구,556324
서울,강동구,499186
서울,강북구,280068
서울,강서구,550669
서울,관악구,478809
서울,광진구,332072
서울,구로구,385222
서울,금천구,223603
서울,노원구,485526
서울,도봉구,300820
서울,동대문구,344572
서울,동작구,373409
서울,마포구,358744
서울,서대문구,301098
서울,서초구,412479
서울,성동구,274195
서울,성북구,423991
서울,송파구,645729
서울,양천구,426587
서울,영등포구,372245
서울,용산구,202636
서울,은평구,457412
서울,종로구,137545
서울,중구,118458
서울,중랑구,377101
세종,세종시,392230
울산,남구,304440
울산,동구,149681
울산,북구,215617
울산,울주군,218824
울산,중구,204072
인천,강화군,69664
인천,계양구,277665
인천,남동구,481212
인천,동구,56764
인천,미추홀구,418425
인천,부평구,491820
인천,서구,649040
인천,연수구,407833
인천,옹진군,19668
인천,중구,174663
전남,강진군,31728
전남,고흥군,59669
전남,곡성군,26597
전남,광양시,155297
전남,구례군,23841
전남,나주시,117195
전남,담양군,44195
전남,목포시,204832
전남,무안군,95567
전남,보성군,36684
전남,순천시,275071
전남,신안군,38883
전남,여수시,264298
전남,영광군,53191
전남,영암군,50264
전남,완도군,44838
전남,장성군,42881
전남,장흥군,34210
전남,진도군,28136
전남,함평군,29541
전남,해남군,62297
전남,화순군,60384
전북,고창군,50595
전북,군산시,256556
전북,김제시,81586
전북,남원시,74715
전북,무주군,22810
전북,부안군,47439
전북,순창군,26741
전북,완주군,100376
전북,익산시,267505
전북,임실군,25297
전북,장수군,20395
전북,전주시,628663
전북,정읍시,100833
전북,진안군,24205
제주,서귀포시,179976
제주,제주시,485634
충남,계룡시,46032
충남,공주시,100449
충남,금산군,49096
충남,논산시,107103
충남,당진시,172587
충남,보령시,92431
충남,부여군,58638
충남,서산시,172903
충남,서천군,47444
충남,아산시,358397
충남,예산군,78970
충남,천안시,663595
충남,청양군,29078
충남,태안군,59674
충남,홍성군,100154
충북,괴산군,35675
충북,단양군,26943
충북,보은군,30309
충북,영동군,42819
충북,옥천군,48373
충북,음성군,92908
충북,제천시,128049
충북,증평군,37129
충북,진천군,85971
충북,청주시,857192
충북,충주시,207063
