region_sido,region_sigungu
강원,고성군
강원,삼척시
강원,양구군
강원,양양군
강원,영월군
강원,정선군
강원,철원군
강원,태백시
강원,평창군
강원,홍천군
강원,화천군
강원,횡성군
경기,가평군
경기,연천군
경남,거창군
경남,고성군
경남,남해군
경남,밀양시
경남,산청군
경남,의령군
경남,창녕군
경남,하동군
경남,함안군
경남,함양군
경남,합천군
경북,고령군
경북,문경시
경북,봉화군
경북,상주시
경북,성주군
경북,안동시
경북,영덕군
경북,영양군
경북,영주시
경북,영천시
경북,울릉군
경북,울진군
경북,의성군
경북,청도군
경북,청송군
대구,군위군
대구,남구
대구,서구
부산,동구
부산,서구
부산,영도구
인천,강화군
인천,옹진군
전남,강진군
전남,고흥군
전남,곡성군
전남,구례군
전남,담양군
전남,보성군
전남,신안군
전남,영광군
전남,영암군
전남,완도군
전남,장성군
전남,장흥군
전남,진도군
전남,함평군
전남,해남군
전남,화순군
전북,고창군
전북,김제시
전북,남원시
전북,무주군
전북,부안군
전북,순창군
전북,임실군
전북,장수군
전북,정읍시
전북,진안군
충남,공주시
충남,금산군
충남,논산시
충남,보령시
충남,부여군
충남,서천군
충남,예산군
충남,청양군
충남,태안군
충북,괴산군
충북,단양군
충북,보은군
충북,영동군
충북,옥천군
충북,제천시
